case_id,entity_localization,fault_identification,reasoning_process,final_score,retrieval_precision,retrieval_recall,explainability,total_pipeline_time_s,total_calls,total_tokens,system,used_entity_fallback
t001,0.0,1.0,0.0,0.3,0.0,0.0,0.1111,50.57606530189514,1,467,direct_llm,
t001,0.5,1.0,0.0,0.5,0.0,0.0,0.1111,49.11888575553894,1,1380,graphrag_only,
t001,0.0,0.0,0.25,0.075,0.0,0.0,0.4583,84.07171821594238,5,2081,multi_agent_only,
t001,0.5,0.0,0.25,0.275,0.125,1.0,0.5833,165.50130414962769,5,4967,proposed_hybrid,False
t002,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,35.28043293952942,1,428,direct_llm,
t002,1.0,0.0,0.0109,0.4033,0.0,0.0,0.1111,49.85462141036987,1,1351,graphrag_only,
t002,0.0,0.0,0.0833,0.025,0.1111,1.0,0.4167,93.2935299873352,5,2204,multi_agent_only,
t002,0.5,0.0,0.25,0.275,0.25,1.0,0.0,254.7134072780609,5,6529,proposed_hybrid,True
t003,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,29.26173162460327,1,439,direct_llm,
t003,0.0156,0.0,0.0,0.0062,0.0,0.0,0.1111,41.14291524887085,1,1327,graphrag_only,
t003,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,82.09667444229126,5,2183,multi_agent_only,
t003,0.0156,0.0,0.1,0.0362,0.0,0.0,0.5833,147.0402283668518,5,5775,proposed_hybrid,False
t004,0.0,1.0,0.0,0.3,0.0,0.0,0.1111,28.057149171829224,1,435,direct_llm,
t004,0.5,1.0,0.0139,0.5042,0.0,0.0,0.3333,46.20674777030945,1,1399,graphrag_only,
t004,0.0,1.0,0.0,0.3,0.0,0.0,0.4167,88.17692494392395,5,2443,multi_agent_only,
t004,0.5,0.0,0.1667,0.25,0.25,1.0,0.5833,161.85944604873657,5,5932,proposed_hybrid,False
t005,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,31.365933895111084,1,443,direct_llm,
t005,0.0625,0.0,0.0,0.025,0.0,0.0,0.1111,43.15033411979675,1,1316,graphrag_only,
t005,0.0,0.0,0.0,0.0,0.0,0.0,0.4583,80.96345567703247,5,1918,multi_agent_only,
t005,0.0625,0.0,0.125,0.0625,0.0,0.0,0.5833,171.72652196884155,5,5348,proposed_hybrid,False
t006,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,33.264811277389526,1,464,direct_llm,
t006,0.25,0.0,0.0,0.1,0.0,0.0,0.1111,41.83512854576111,1,1316,graphrag_only,
t006,0.0,0.0,0.2,0.06,0.25,1.0,0.4583,82.11509466171265,5,1938,multi_agent_only,
t006,0.25,1.0,0.5,0.55,0.0,0.0,0.5833,161.00343585014343,5,4850,proposed_hybrid,False
t007,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,32.542463302612305,1,464,direct_llm,
t007,0.25,0.0,0.0217,0.1065,0.0,0.0,0.3333,43.61066436767578,1,1342,graphrag_only,
t007,0.0,0.0,0.0833,0.025,0.0,0.0,0.4583,85.14734172821045,5,2031,multi_agent_only,
t007,0.125,0.0,0.0833,0.075,0.0,0.0,0.0,246.3248324394226,5,5589,proposed_hybrid,True
t008,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,29.434158086776733,1,434,direct_llm,
t008,0.0312,0.0,0.0032,0.0134,0.0,0.0,0.1111,49.07594299316406,1,1384,graphrag_only,
t008,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,84.18063426017761,5,2258,multi_agent_only,
t008,0.0312,0.0,0.2,0.0725,0.0,0.0,0.5833,139.17172002792358,5,5546,proposed_hybrid,False
t009,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,32.42190456390381,1,455,direct_llm,
t009,1.0,0.0,0.0,0.4,0.0,0.0,0.1111,43.58416438102722,1,1369,graphrag_only,
t009,0.0,0.0,0.0,0.0,0.2,1.0,0.4167,85.55879497528076,5,2178,multi_agent_only,
t009,1.0,0.0,0.2143,0.4643,0.5,1.0,0.5833,144.96843314170837,5,5476,proposed_hybrid,False
t010,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,34.05587363243103,1,475,direct_llm,
t010,0.5,0.0,0.0,0.2,0.0,0.0,0.1111,43.719781160354614,1,1356,graphrag_only,
t010,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,90.7620177268982,5,2159,multi_agent_only,
t010,0.5,0.0,0.25,0.275,0.125,1.0,0.5833,153.02124881744385,5,4667,proposed_hybrid,False
